name,acronym,AP_location,DV_location,ML_location,avIndex
Nucleus of the solitary tract,NTS,-6.68,5.17,0.94,949
Parvicellular reticular nucleus,PARN,-6.68,5.61,0.93,989
Intermediate reticular nucleus,IRN,-6.68,5.8,0.93,979
Intermediate reticular nucleus,IRN,-6.68,5.94,0.94,979
Intermediate reticular nucleus,IRN,-6.68,6,0.95,979
Intermediate reticular nucleus,IRN,-6.68,5.83,0.99,979
Lateral reticular nucleus magnocellular part,LRNm,-6.68,6.75,0.96,983
Nucleus of the solitary tract,NTS,-6.68,5.24,0.97,949
Parvicellular reticular nucleus,PARN,-6.68,5.66,0.97,989
Nucleus of the solitary tract,NTS,-6.68,5.34,1,949
Nucleus of the solitary tract,NTS,-6.68,5.19,1.01,949
Lateral reticular nucleus magnocellular part,LRNm,-6.68,6.9,1.01,983
Nucleus of the solitary tract,NTS,-6.68,5.14,1.01,949
Nucleus of the solitary tract,NTS,-6.68,5.28,1.03,949
Intermediate reticular nucleus,IRN,-6.68,5.9,1.04,979
Intermediate reticular nucleus,IRN,-6.68,5.96,1.04,979
Intermediate reticular nucleus,IRN,-6.68,6.07,1.04,979
Nucleus of the solitary tract,NTS,-6.68,5.22,1.05,949
Intermediate reticular nucleus,IRN,-6.68,6.33,1.06,979
Nucleus of the solitary tract,NTS,-6.68,5.16,1.07,949
Parvicellular reticular nucleus,PARN,-6.68,5.58,1.07,989
Parvicellular reticular nucleus,PARN,-6.68,5.91,1.07,989
Parvicellular reticular nucleus,PARN,-6.68,5.94,1.09,989
Nucleus of the solitary tract,NTS,-6.68,5.22,1.11,949
Nucleus of the solitary tract,NTS,-6.68,5.28,1.11,949
Intermediate reticular nucleus,IRN,-6.68,6.39,1.12,979
Nucleus of the solitary tract,NTS,-6.68,5.32,1.15,949
Parvicellular reticular nucleus,PARN,-6.68,5.71,1.14,989
Nucleus of the solitary tract,NTS,-6.68,5.46,1.15,949
Intermediate reticular nucleus,IRN,-6.68,6.41,1.15,979
Parvicellular reticular nucleus,PARN,-6.68,5.87,1.16,989
Intermediate reticular nucleus,IRN,-6.68,6.57,1.19,979
Lateral reticular nucleus magnocellular part,LRNm,-6.68,7.01,1.19,983
Spinal vestibular nucleus,SPIV,-6.68,5.11,1.22,1005
Intermediate reticular nucleus,IRN,-6.68,6.31,1.23,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.68,6.96,1.22,993
Intermediate reticular nucleus,IRN,-6.68,6.45,1.24,979
Spinal vestibular nucleus,SPIV,-6.68,5.11,1.24,1005
Parvicellular reticular nucleus,PARN,-6.68,6.08,1.26,989
Nucleus of the solitary tract,NTS,-6.68,5.25,1.26,949
Nucleus of the solitary tract,NTS,-6.68,5.5,1.26,949
Parvicellular reticular nucleus,PARN,-6.68,5.91,1.28,989
